proba_no	proba_yes
0.9701231048360596	0.02987689516394039
0.9198940117846662	0.08010598821533377
0.8557381545527388	0.1442618454472612
0.9151753537620615	0.08482464623793856
0.8747710752218307	0.12522892477816933
0.9356192910977347	0.06438070890226529
0.9453271007582473	0.05467289924175265
0.6395281262694326	0.36047187373056744
0.8014556628263436	0.1985443371736564
0.8180298723159138	0.18197012768408613
0.8279598155296498	0.17204018447035016
0.7941400570730265	0.20585994292697354
0.0012759098921433232	0.9987240901078567
0.8649184551581243	0.13508154484187576
0.14117856076533297	0.858821439234667
0.9346856623834455	0.06531433761655449
0.852037860342562	0.14796213965743804
0.8615575754730391	0.13844242452696087
0.8410915247412403	0.15890847525875967
0.6371907536323805	0.36280924636761946
0.007370167594848209	0.9926298324051518
0.3278186285374187	0.6721813714625813
0.9345976721651116	0.06540232783488842
0.7708816311837687	0.22911836881623132
0.7684224207690535	0.23157757923094646
0.8808704384776085	0.11912956152239156
0.9109205750034945	0.08907942499650548
0.9182119202072027	0.08178807979279737
0.9243252781539135	0.07567472184608645
0.8985445583238607	0.1014554416761393
0.6250938251191906	0.3749061748808093
0.7914288653042818	0.20857113469571817
0.06132981846525254	0.9386701815347475
0.672036881058839	0.32796311894116104
0.8507839661003042	0.14921603389969584
0.8743043741847925	0.1256956258152076
0.29352895362472375	0.7064710463752762
0.7730980645130167	0.22690193548698337
0.3430931145512228	0.6569068854487772
0.691861035356388	0.308138964643612
0.7879870310567793	0.21201296894322072
0.8574878887556514	0.14251211124434854
0.8546365106971044	0.14536348930289553
0.43782881375478044	0.5621711862452196
0.8295552940839945	0.1704447059160055
0.00530052423981886	0.9946994757601811
0.9402112600902528	0.05978873990974725
0.3134155118451495	0.6865844881548505
0.6997269543574693	0.30027304564253066
0.8985086568342294	0.10149134316577055
0.9043314606926024	0.09566853930739765
0.802132524351395	0.19786747564860496
0.8631135275177281	0.13688647248227195
0.9003119441797981	0.09968805582020186
0.7235369582585733	0.2764630417414267
0.9493262064397469	0.05067379356025319
0.8794589091436158	0.12054109085638426
0.8943113661538036	0.10568863384619644
0.7447020590427185	0.25529794095728153
0.8560866509723621	0.14391334902763786
0.9441749009801743	0.05582509901982564
0.9092088500418223	0.09079114995817766
0.8974834726214327	0.10251652737856726
0.9218931942078998	0.0781068057921002
0.6038612174714721	0.3961387825285279
0.6708866145838561	0.3291133854161439
0.7404865671107301	0.25951343288926987
0.8540469308268235	0.14595306917317655
0.7248913291058794	0.2751086708941206
0.41307167618619733	0.5869283238138027
0.44063327646339145	0.5593667235366085
0.8986756630990816	0.10132433690091838
0.7176633593413624	0.28233664065863756
0.9409624405012139	0.05903755949878604
0.7727420009319138	0.22725799906808622
0.8762203167696957	0.12377968323030426
