"43.0"	"admin."	"married"	"secondary"	"no"	"132.0"	"no"	"no"	"cellular"	"17.0"	"mar"	"220.0"	"1.0"	"-1"	"0"	"unknown"	"yes"
"31.0"	"technician"	"single"	"tertiary"	"no"	"948.0"	"yes"	"no"	"unknown"	"8.0"	"may"	"91.0"	"2.0"	"-1"	"0"	"unknown"	"no"
"26.0"	"blue-collar"	"single"	"primary"	"no"	"-579.0"	"yes"	"no"	"unknown"	"16.0"	"may"	"320.0"	"3.0"	"-1"	"0"	"unknown"	"no"
"35.0"	"technician"	"married"	"secondary"	"no"	"0.0"	"no"	"no"	"cellular"	"27.0"	"aug"	"18.0"	"14.0"	"-1"	"0"	"unknown"	"no"
"59.0"	"services"	"married"	"secondary"	"no"	"-22.0"	"yes"	"no"	"unknown"	"26.0"	"may"	"748.0"	"3.0"	"-1"	"0"	"unknown"	"yes"
"31.0"	"blue-collar"	"married"	"primary"	"no"	"2.0"	"yes"	"yes"	"cellular"	"10.0"	"jul"	"112.0"	"1.0"	"-1"	"0"	"unknown"	"no"
"47.0"	"technician"	"married"	"secondary"	"no"	"57.0"	"no"	"no"	"cellular"	"5.0"	"may"	"253.0"	"1.0"	"342"	"1"	"success"	"no"
"34.0"	"management"	"single"	"tertiary"	"no"	"125.0"	"yes"	"yes"	"unknown"	"5.0"	"jun"	"18.0"	"31.0"	"-1"	"0"	"unknown"	"no"
"45.0"	"admin."	"married"	"secondary"	"no"	"967.0"	"no"	"no"	"unknown"	"9.0"	"jun"	"63.0"	"1.0"	"-1"	"0"	"unknown"	"no"
"48.0"	"unknown"	"married"	"secondary"	"no"	"-95.0"	"no"	"no"	"cellular"	"19.0"	"aug"	"134.0"	"9.0"	"-1"	"0"	"unknown"	"no"
"57.0"	"admin."	"married"	"secondary"	"no"	"-967.0"	"yes"	"no"	"telephone"	"15.0"	"may"	"8.0"	"7.0"	"-1"	"0"	"unknown"	"no"
"44.0"	"blue-collar"	"married"	"unknown"	"no"	"391.0"	"no"	"no"	"unknown"	"6.0"	"jun"	"355.0"	"4.0"	"-1"	"0"	"unknown"	"no"
"40.0"	"technician"	"married"	"secondary"	"no"	"203.0"	"yes"	"no"	"cellular"	"24.0"	"jul"	"328.0"	"1.0"	"-1"	"0"	"unknown"	"no"
"55.0"	"services"	"married"	"unknown"	"no"	"2944.0"	"no"	"no"	"cellular"	"27.0"	"aug"	"672.0"	"6.0"	"-1"	"0"	"unknown"	"yes"
"32.0"	"management"	"single"	"tertiary"	"no"	"9317.0"	"no"	"no"	"cellular"	"2.0"	"nov"	"92.0"	"3.0"	"-1"	"0"	"unknown"	"no"
"42.0"	"admin."	"divorced"	"secondary"	"no"	"936.0"	"no"	"no"	"cellular"	"30.0"	"jan"	"931.0"	"1.0"	"-1"	"0"	"unknown"	"yes"
"37.0"	"blue-collar"	"married"	"secondary"	"no"	"3173.0"	"yes"	"no"	"cellular"	"13.0"	"may"	"179.0"	"1.0"	"-1"	"0"	"unknown"	"no"
"53.0"	"management"	"married"	"tertiary"	"no"	"1356.0"	"yes"	"no"	"cellular"	"21.0"	"may"	"429.0"	"1.0"	"193"	"6"	"failure"	"no"
"49.0"	"retired"	"divorced"	"secondary"	"no"	"-268.0"	"yes"	"no"	"cellular"	"6.0"	"feb"	"42.0"	"2.0"	"206"	"5"	"failure"	"no"
"39.0"	"technician"	"married"	"tertiary"	"no"	"94.0"	"no"	"no"	"cellular"	"7.0"	"aug"	"70.0"	"2.0"	"-1"	"0"	"unknown"	"no"
"30.0"	"technician"	"single"	"tertiary"	"no"	"0.0"	"no"	"no"	"cellular"	"22.0"	"aug"	"34.0"	"2.0"	"-1"	"0"	"unknown"	"no"
"61.0"	"retired"	"married"	"secondary"	"no"	"2801.0"	"yes"	"yes"	"cellular"	"10.0"	"mar"	"239.0"	"1.0"	"-1"	"0"	"unknown"	"yes"
"47.0"	"blue-collar"	"married"	"secondary"	"no"	"33.0"	"no"	"no"	"telephone"	"17.0"	"nov"	"27.0"	"1.0"	"-1"	"0"	"unknown"	"no"
"56.0"	"retired"	"married"	"primary"	"no"	"1947.0"	"no"	"no"	"cellular"	"30.0"	"oct"	"631.0"	"2.0"	"149"	"3"	"failure"	"no"
"37.0"	"management"	"married"	"tertiary"	"no"	"332.0"	"yes"	"no"	"cellular"	"14.0"	"aug"	"190.0"	"2.0"	"84"	"7"	"failure"	"no"
"53.0"	"services"	"married"	"secondary"	"no"	"33.0"	"yes"	"no"	"unknown"	"19.0"	"may"	"84.0"	"12.0"	"-1"	"0"	"unknown"	"no"
"51.0"	"technician"	"single"	"secondary"	"no"	"-463.0"	"yes"	"no"	"cellular"	"5.0"	"may"	"496.0"	"1.0"	"343"	"3"	"failure"	"no"
"28.0"	"management"	"single"	"tertiary"	"no"	"0.0"	"no"	"no"	"telephone"	"27.0"	"may"	"198.0"	"2.0"	"-1"	"0"	"unknown"	"no"
